None 29
None 53
None 47
None 53
None 74
None 58
None 75
None 53
None 49
None 55
None 60
None 64
None 58
None 48
None 51
None 51
None 46
None 54
None 60
None 56
38.538796167 -121.409043167 57
38.538957833 -121.409024167 71
38.539124 -121.409008833 71
38.539291833 -121.408998 59
38.539459833 -121.408989 69
38.539628333 -121.408983 63
38.539798333 -121.408977333 66
38.539967167 -121.408973333 67
38.540131167 -121.408969667 57
38.540292167 -121.408964667 51
38.540448 -121.408960667 69
38.5406015 -121.408952667 55
38.540750333 -121.4089425 68
38.5408935 -121.408931 45
38.541022333 -121.408920333 57
38.5411335 -121.408911667 63
38.541230833 -121.4089035 51
38.5413155 -121.408895 65
38.541389333 -121.408888333 63
38.541453167 -121.408883 64
38.541510167 -121.408878667 74
38.541562667 -121.408875667 50
38.541606667 -121.408872667 76
38.541642833 -121.408870333 61
38.541667 -121.408869333 52
38.541680333 -121.408870333 61
38.541687167 -121.408866333 65
38.541687167 -121.408863 56
38.5416915 -121.408864167 66
38.5417055 -121.408862333 49
38.541736833 -121.408858833 69
38.5417745 -121.4088585 57
38.541821 -121.408856 47
38.5418745 -121.408855167 67
38.541933167 -121.408858167 75
38.541994667 -121.408857167 52
38.542053667 -121.408857 53
38.542112333 -121.408856 50
38.542176167 -121.408854667 66
38.542247833 -121.408852833 82
38.542324167 -121.408850833 76
38.5424015 -121.408848333 61
38.542476 -121.408847167 63
38.542550167 -121.408846167 63
38.542628167 -121.4088465 80
38.542713667 -121.408847 73
38.5428085 -121.408850167 78
38.5429095 -121.408858 75
38.543015833 -121.408865667 56
38.543126167 -121.4088695 53
38.5432325 -121.408869167 59
38.543334 -121.4088685 58
38.543430167 -121.408868333 64
38.543523333 -121.408865667 65
38.543609 -121.408865833 56
38.543688833 -121.408865 59
38.543760667 -121.408866 52
38.543828167 -121.408867167 62
38.543894167 -121.408866667 64
38.5439535 -121.408866 70
38.544004 -121.408867 58
38.544044167 -121.408865333 67
38.544071167 -121.408866167 65
38.544088833 -121.4088685 84
38.5441025 -121.408865167 66
38.544116333 -121.408864 58
38.5441285 -121.408863333 57
38.544142167 -121.408862 63
38.5441565 -121.408858667 70
38.544167 -121.408857833 63
38.544174333 -121.4088575 62
38.544178 -121.408857667 59
38.5441775 -121.408857167 61
38.544181167 -121.408855667 55
38.5441845 -121.408856 59
38.544192333 -121.4088545 59
38.544196667 -121.408854167 51
38.544202167 -121.408854333 68
38.544218667 -121.408854 76
38.544252667 -121.408851667 56
38.5443025 -121.4088495 63
38.5443565 -121.4088475 64
38.544418833 -121.408845833 58
38.544492167 -121.408844167 70
38.544573167 -121.408841333 68
38.544660333 -121.408836833 62
38.5447535 -121.408832833 49
38.544853333 -121.408830667 77
38.544965667 -121.408828 70
38.54509 -121.408819667 65
38.545222167 -121.4088085 60
38.545358667 -121.408801333 66
38.545499167 -121.408802167 50
38.545644333 -121.408809 48
38.545793833 -121.408819667 61
38.545945833 -121.408832167 53
38.546099 -121.408846333 59
38.546244167 -121.408859333 53
38.546386167 -121.408866833 60
38.54652 -121.408873667 75
38.5466425 -121.4088785 53
38.546747833 -121.4088825 70
38.546836667 -121.408886333 56
38.546910667 -121.408889667 46
38.546972167 -121.408893167 69
38.547024167 -121.408893167 55
38.547063333 -121.408898167 62
38.547092667 -121.408902833 67
38.547114167 -121.408906833 48
38.5471265 -121.408909167 47
38.547129833 -121.408910667 85
38.547130333 -121.408912 53
38.547130167 -121.408913333 69
38.5471295 -121.4089145 56
38.547129333 -121.4089155 52
38.547129333 -121.408916333 71
38.547129167 -121.408916833 69
38.547128167 -121.408918 50
38.547127667 -121.408918333 64
38.547127667 -121.408918333 46
38.547127833 -121.408917833 68
38.547128333 -121.408917333 63
38.547128333 -121.408917167 54
38.547127333 -121.408917333 66
38.547128 -121.408917833 68
38.5471275 -121.408918167 68
38.547129167 -121.408918333 55
38.5471355 -121.408921333 54
38.547141667 -121.408923667 64
38.547143333 -121.408926833 67
38.547143167 -121.408927833 62
38.547141 -121.408927833 49
38.547139833 -121.408927667 54
38.547139667 -121.408927167 81
38.5471375 -121.408926833 66
38.547135167 -121.408925333 52
38.547132333 -121.408924 57
38.547129167 -121.408924833 52
38.547128 -121.408924 80
38.5471275 -121.408923167 60
38.547127333 -121.408922667 52
